3.4806 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.5122 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.4656 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A4FA4D7040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A4FC40AC10>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.4658 	EXP 	window1: mouseVisible = True
12.4659 	EXP 	window1: mouseVisible = False
12.4659 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.4659 	EXP 	window1: recordFrameIntervals = False
12.6313 	EXP 	window1: recordFrameIntervals = True
12.8145 	EXP 	Screen (0) actual frame rate measured at 60.12Hz
12.8145 	EXP 	window1: recordFrameIntervals = False
20.1931 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
20.9986 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.0173 	EXP 	Imported C:/Users/JEMIMA/Documents/L in Psych Psychopy/conditions tut 06.xlsx as conditions, 7 conditions, 3 params
21.0353 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
21.0360 	EXP 	New trial (rep=0, index=0): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
22.1401 	DATA 	Keypress: space
22.1609 	EXP 	text: height = 0.05
22.1609 	EXP 	text: height = 0.05
22.1609 	EXP 	text: height = 0.05
22.1609 	EXP 	text: text = 'GBP 67 today  or  GBP 75 after 119 days '
22.1609 	EXP 	fixation: autoDraw = True
22.1609 	EXP 	text: autoDraw = True
23.1644 	EXP 	fixation: autoDraw = False
26.7335 	EXP 	New trial (rep=0, index=1): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
26.7461 	DATA 	Keypress: t
26.7483 	EXP 	fixation: autoDraw = False
26.7483 	EXP 	text: autoDraw = False
26.7483 	EXP 	text: height = 0.05
26.7483 	EXP 	text: height = 0.05
26.7483 	EXP 	text: height = 0.05
26.7483 	EXP 	text: text = 'GBP 15 today  or  GBP 35 after 13 days '
26.7483 	EXP 	fixation: autoDraw = True
27.7479 	EXP 	fixation: autoDraw = False
27.7479 	EXP 	text: autoDraw = True
29.3664 	EXP 	New trial (rep=0, index=2): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
29.3877 	DATA 	Keypress: l
29.3898 	EXP 	fixation: autoDraw = False
29.3898 	EXP 	text: autoDraw = False
29.3898 	EXP 	text: height = 0.05
29.3898 	EXP 	text: height = 0.05
29.3898 	EXP 	text: height = 0.05
29.3898 	EXP 	text: text = 'GBP 49 today  or  GBP 60 after 89 days '
29.3898 	EXP 	fixation: autoDraw = True
30.3814 	EXP 	text: autoDraw = True
30.3982 	EXP 	fixation: autoDraw = False
32.1833 	EXP 	New trial (rep=0, index=3): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
32.1963 	DATA 	Keypress: t
32.1983 	EXP 	fixation: autoDraw = False
32.1983 	EXP 	text: autoDraw = False
32.1983 	EXP 	text: height = 0.05
32.1983 	EXP 	text: height = 0.05
32.1983 	EXP 	text: height = 0.05
32.1983 	EXP 	text: text = 'GBP 27 today  or  GBP 50 after 21 days '
32.1983 	EXP 	fixation: autoDraw = True
33.1979 	EXP 	fixation: autoDraw = False
33.1979 	EXP 	text: autoDraw = True
37.5166 	EXP 	New trial (rep=0, index=4): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
37.5255 	DATA 	Keypress: l
37.5311 	EXP 	fixation: autoDraw = False
37.5311 	EXP 	text: autoDraw = False
37.5311 	EXP 	text: height = 0.05
37.5311 	EXP 	text: height = 0.05
37.5311 	EXP 	text: height = 0.05
37.5311 	EXP 	text: text = 'GBP 78 today  or  GBP 80 after 162 days '
37.5311 	EXP 	fixation: autoDraw = True
38.5312 	EXP 	fixation: autoDraw = False
38.5312 	EXP 	text: autoDraw = True
41.8999 	EXP 	New trial (rep=0, index=5): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
41.9099 	DATA 	Keypress: t
41.9146 	EXP 	fixation: autoDraw = False
41.9146 	EXP 	text: autoDraw = False
41.9146 	EXP 	text: height = 0.05
41.9146 	EXP 	text: height = 0.05
41.9146 	EXP 	text: height = 0.05
41.9146 	EXP 	text: text = 'GBP 11 today  or  GBP 30 after 7 days '
41.9146 	EXP 	fixation: autoDraw = True
42.9145 	EXP 	fixation: autoDraw = False
42.9145 	EXP 	text: autoDraw = True
46.1841 	EXP 	New trial (rep=0, index=6): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
46.1937 	DATA 	Keypress: l
46.1983 	EXP 	fixation: autoDraw = False
46.1983 	EXP 	text: autoDraw = False
46.1983 	EXP 	text: height = 0.05
46.1983 	EXP 	text: height = 0.05
46.1983 	EXP 	text: height = 0.05
46.1983 	EXP 	text: text = 'GBP 40 today  or  GBP 55 after 62 days '
46.1983 	EXP 	fixation: autoDraw = True
47.1980 	EXP 	fixation: autoDraw = False
47.1980 	EXP 	text: autoDraw = True
51.0004 	DATA 	Keypress: l
51.0145 	EXP 	fixation: autoDraw = False
51.0145 	EXP 	text: autoDraw = False
51.1754 	EXP 	window1: mouseVisible = True
